point	433	153	b0b0b0
	472	372	d0d0d0
	270	267	b0b0b0
	194	27	808080
	493	364	
	220	371	b0b0b0
	434	370	808080
	272	152	
	201	72	
	373	68	b0b0b0
	400	446	
	302	421	d0d0d0
	188	304	808080
	491	463	
	318	334	
		147	b0b0b0
	150	224	
	229	244	808080
	363	317	b0b0b0
	339	119	
	307	405	
	570	210	808080
	283	1	b0b0b0
	245	5	808080
	342	433	d0d0d0
	197	17	808080
	528	180	d0d0d0
	522	83	808080
	136	334	b0b0b0
	514	207	
	469	400	808080
	599	434	b0b0b0
	495	301	d0d0d0
	235	243	
	359	218	
	294	371	b0b0b0
	272	188	
	174	158	808080
	254	42	d0d0d0
	499	422	808080
	374	427	
	372	174	b0b0b0
	451	170	808080
	452	394	
	592	18	b0b0b0
	496	315	808080
	289	297	
	310	375	b0b0b0
	237	179	808080
	600	103	b0b0b0
	158	378	d0d0d0
	255	402	808080
	397	156	
	320	138	d0d0d0
	241	421	b0b0b0
	422	63	d0d0d0
	437	268	808080
	518	369	d0d0d0
	561	8	
	242	278	808080
	267	310	b0b0b0
	139	244	808080
	198	336	
	481	351	
	403	405	
	237	208	b0b0b0
	497	253	808080
	208	206	b0b0b0
	290	158	808080
	571	198	d0d0d0
	516	49	808080
	503	394	
	420	470	b0b0b0
	187	301	d0d0d0
	414	439	808080
	210	84	b0b0b0
	505	61	
	147	117	808080
	264	51	d0d0d0
	203	271	
	227	215	b0b0b0
	135	410	d0d0d0
	393	164	
	504	31	808080
	569	174	b0b0b0
	260	325	808080
	589	74	b0b0b0
	533	39	d0d0d0
	541	286	b0b0b0
	557	168	808080
	496	81	
	595	465	
	374	154	
	308	208	
	432	28	b0b0b0
	200	385	808080
	334	2	
	502	306	
	173	345	
	253	175	
	393	351	b0b0b0
	421	110	d0d0d0
	403	53	b0b0b0
	361	366	
	170	465	d0d0d0
	392	440	808080
	534	336	
	577	375	
	280	347	
	464	106	b0b0b0
	132	198	808080
	138	12	
	207	377	d0d0d0
	264	402	
	217	346	808080
	340	378	b0b0b0
		426	808080
	380	208	
	329	214	
	445	383	b0b0b0
	563	52	808080
	502	30	b0b0b0
	441	150	
	363	367	808080
	185	13	d0d0d0
	358	341	a05000
	331	402	
	361	391	
	318	375	
	360	390	
	340	375	
	357	373	
	335	372	
	312	332	
	372	379	
	342	350	d06800
	330	351	
	337	331	
	334	356	
	359	342	
	333	337	
	349	339	
	359	341	
	348	340	
	343	352	
line	142	0	142	480	000050
	398		398		002850
	128	226	608	226	000050
	329	353	331	345	00ff00
	360	241	360	238	ffff7f
	359	281	361	275	
	319	339	322	330	
draw	-63	219	1	283	/sprites/1004.SMIV/0
static	342	326	362	352	f0f078	16	/sprites/506.SMIV/7
draw	315	281	331	293	/sprites/501.SMIV/7
	358	229	380	249	/sprites/509.SMIV/13
	425	477	441	490	/sprites/501.SMIV/17
	154	252	168	266	/sprites/501.SMIV/13
	532	238	548	251	/sprites/501.SMIV/19
	328	326	333	330	/sprites/504.SMIV/19
	340	327	345	332	/sprites/554.SMIV/2
line	321	433	332	422	489048
			317	418	
	332	422			204020
draw	0	0	128	480	/pictures/501.png
	608		640		/pictures/512.png
line	614	431	614	359	00488f
		359	622		
	622			431	002850
		431	614		
rect	615	360	622	431	003870
line	614	456	614	432	007fff
		432	622		
	622			456	00488f
		456	614		
rect	615	433	622	456	0070e0
line	614	296	614	231	909048
		231	622		
	622			296	505028
		296	614		
rect	615	232	622	296	707038
line	614	328	614	297	ffff7f
		297	622		
	622			328	909048
		328	614		
rect	615	298	622	328	e0e070
line	614	166	614	103	904848
		103	622		
	622			166	502828
		166	614		
rect	615	104	622	166	703838
line	614	200	614	167	ff7f7f
		167	622		
	622			200	904848
		200	614		
rect	615	168	622	200	e07070
line	618	8	629	8	90488f
			618	9	
	629		629		
	618	36		36	
			618	35	
	629		629		
rect	620	10	628	35	703870
		35			c060c0
	634	49	636	52	7fff7f
		53		56	60c060
		57		60	
		61		64	703800
		65		68	
		69		72	183018
		73		76	
		77		80	
		81		84	
		85		88	
		89		92	
		93		96	
		97		100	
		101		104	
		105		108	
		109		112	
		113		116	
		117		120	
		121		124	
		125		128	
		129		132	
		133		136	
		137		140	
		141		144	
		145		148	
		149		152	
		153		156	
		157		160	
		161		164	
		165		168	
		169		172	
		173		176	
		177		180	
		181		184	
		185		188	
		189		192	
		193		196	
		197		200	
		201		204	
		205		208	
		209		212	
		213		216	
		217		220	
		221		224	
		225		228	
		229		232	
		233		236	
		237		240	
		241		244	
		245		248	
		249		252	
		253		256	
		257		260	
		261		264	
		265		268	
		269		272	
		273		276	
		277		280	
		281		284	
		285		288	
		289		292	
		293		296	
		297		300	
		301		304	
		305		308	
		309		312	
		313		316	
		317		320	
		321		324	
		325		328	
		329		332	
		333		336	
		337		340	
		341		344	
		345		348	
		349		352	
		353		356	
		357		360	
		361		364	
		365		368	
		369		372	
		373		376	
		377		380	
		381		384	
		385		388	
		389		392	
		393		396	
		397		400	
		401		404	
		405		408	
		409		412	
		413		416	
		417		420	
		421		424	
		425		428	
		429		432	
		433		436	
		437		440	
		441		444	
		445		448	
	621	52	631	56	303000
		57		61	
		62		66	
		67		71	
		72		76	
		77		81	
		82		86	
	7	7	115	115	00ff00
