crop	0	0	450	154	0	0	ffffff	/pictures/2005.png
	6	2	13	22	32	100	ff0000	/fonts/title.png
	13		20		64	120		
	20		27		40			
	34		41		56	80		
	41		48		8	120		
	48		55		72			
	55		62		32	140		
	62		69		120	120		
	69		76		16	140		
	76		83		72	120		
	83		90		96	40		
	97		104		16	140		
	104		111		40			
	111		118		32			
	118		125		64	120		
	125		132		96			
	132		139		40			
	139		146		24	140		
	146		153					
	160		167		104	120		
	167		174		40			
	174		181		16	140		
	181		188		24	120		
	188		195		40			
	195		202		112			
	202		209		8			
	209		216		16	140		
	216		223		72	120		
	223		230		40			
	230		237		24	140		
	244		251		8	120		
	251		258		112			
	258		265		32			
	272		279		104			
	279		286		72			
	286		293		112			
	293		300		72			
	300		307		120			
	307		314		112			
	314		321		24	140		
	328		335		120	120		
	335		342		48			
	349		356		32	140		
	356		363		64	120		
	363		370		40			
	377		384		24	80		
	384		391		8	120		
	391		398		112			
	398		405		32	140		
	405		412		64	120		
	412		419		8			
	419		426		16	140		
	426		433		8	120		
	433		440		112			
	6	24	13	44	120	80		
	13		20		16	140		
	20		27		32	120		
	27		34		40			
	34		41		16	140		
	41		48		96	40		
	55		62		8	120		
	62		69		16	140		
	69		76		40	120		
	83		90		32	140		
	90		97		64	120		
	97		104		40			
	111		118		48			
	118		125		72			
	125		132		16	140		
	132		139		24			
	139		146		32			
	153		160		40	120		
	160		167		112			
	167		174		40			
	174		181		104			
	181		188		72	140		
	195		202		32			
	202		209		64	120		
	209		216		40			
	223		230		64			
	230		237		40	140		
	237		244		104	120		
	244		251		8			
	251		258		112			
	258		265		24	140		
	272		279		104	120		
	279		286		40	140		
	286		293		24			
	293		300		32			
	307		314		48	120		
	314		321		8			
	321		328		24			
	328		335		40			
	342		349		72			
	349		356		112			
	363		370		32	140		
	370		377		64	120		
	377		384		40			
	384		391		72			
	391		398		16	140		
	405		412		8			
	412		419		40			
	419		426			120		
	426		433		24	140		
	433		440		32			
	6	46	13	66	48	120		
	13		20		120			
	20		27		16	140		
	34		41		40	80		
	41		48		8	120		
	48		55		16	140		
	55		62		32			
	62		69		64	120		
	69		76		112	40		
	90		97		32	100		
	97		104		64	120		
	104		111		40			
	118		125		56	80		
	125		132		8	120		
	132		139		72			
	139		146		32	140		
	146		153		120	120		
	153		160		16	140		
	160		167		72	120		
	174		181		40	100		
	181		188		112	120		
	188		195		72			
	195		202		120			
	202		209		112			
	209		216		96	40		
	223		230		120	120		
	230		237		112			
	237		244		24			
	244		251		40			
	258		265		8			
	265		272		112			
	279		286		72			
	286		293		112			
	293		300		32	140		
	300		307		40	120		
	307		314		16	140		
	314		321		24			
	321		328		32			
	328		335		40	120		
	335		342		96			
	342		349					
	349		356		8			
	356		363		16	140		
	370		377		32			
	377		384		16			
	384		391		8	120		
	391		398		32			
	398		405		72			
	405		412		112			
	412		419		56			
	6	68	13	88	40			
	13		20		104			
	20		27		0	140		
	27		34		72	120		
	34		41		16	140		
	41		48		40	120		
	55		62		32	140		
	62		69		64	120		
	69		76		8			
	76		83		32	140		
	90		97		96	120		
	97		104		72			
	104		111		112			
	111		118		88			
	118		125		40			
	125		132		32			
	139		146			140		
	146		153		64	120		
	153		160		40			
	167		174		104			
	174		181		8			
	181		188		112			
	188		195		72	140		
	202		209		32	120		
	209		216		72			
	216		223		24	140		
	223		230		0			
	230		237		8	120		
	237		244		16	140		
	244		251		8	120		
	251		258		32	140		
	258		265		40	120		
	272		279		24	140		
	279		286		0			
	286		293		8	120		
	293		300		24			
	300		307		40			
	307		314		104	40		
	314		321		48	120		
	321		328		8			
	328		335		16	140		
	335		342		72	120		
	342		349		112			
	349		356		56			
	6	90	13	110	24			
	13		20		72			
	20		27		48	140		
	27		34		72	120		
	34		41		96			
	41		48		72			
	48		55		80	140		
	55		62		8	120		
	62		69		32	140		
	69		76		72	120		
	76		83		120			
	83		90		112			
	90		97		24	140		
	104		111		32			
